GameID,Team,Side,Result,Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
62457,DK,Blue,Loss,kingen,Olaf,TOP,15,8,4,2,2.5,249,12,,8.8,11900,421,24.6%,30,8,7,6,5,1.06,0.28,0.21,0.25,13.9%,18182,13040,284,4858,644,38.5%,0.35,100%,,1,1,0,0,1057,19,897,1,0,931,931,6498,0,23653,0,9,411,22314,139,7,25,0,450
62457,DK,Blue,Loss,Lucid,Ivern,JUNGLE,13,0,3,10,3.3,142,131,,5,8431,298,17.4%,43,12,9,12,11,1.52,0.42,0.42,0.32,19.9%,5214,1190,2992,1032,185,11%,0.35,100%,,0,0,0,0,372,16,799,1,0,271,271,7705,2584,9947,11106,37,266,11993,49,13,27,0,0
62457,DK,Blue,Loss,ShowMaker,Nasus,MID,14,1,5,4,1,200,8,,7.1,9059,321,18.7%,18,7,4,5,5,0.64,0.25,0.18,0.14,8.3%,9470,6178,3292,0,335,20%,0.18,50%,,0,0,0,0,-1058,-39,-1279,-1,0,595,595,8228,0,25802,0,5,320,27669,149,6,22,150,0
62457,DK,Blue,Loss,Aiming,Miss Fortune,ADC,15,0,2,3,1.5,320,4,,11.3,11908,422,24.6%,32,12,7,5,5,1.13,0.42,0.18,0.25,14.8%,7361,6804,557,0,261,15.6%,0.11,30%,,0,0,0,0,-583,10,83,0,0,5371,5371,2577,0,14165,0,3,49,7636,42,6,20,0,100
62457,DK,Blue,Loss,Moham,Poppy,SUPPORT,10,1,4,8,2.3,31,0,,1.1,7081,251,14.6%,93,50,12,14,13,3.29,1.77,0.5,0.42,43.1%,7023,4571,1380,1072,249,14.9%,0.32,90%,,0,0,0,0,-428,6,-50,0,0,1894,1894,987,0,15788,0,21,168,17770,89,16,29,50,0
62457,GEN,Red,Win,Kiin,Corki,TOP,16,3,3,9,4,246,12,,8.7,13063,462,21.5%,39,14,11,4,4,1.38,0.5,0.14,0.39,16.2%,18462,12786,3825,1851,654,26.6%,0.42,66.7%,,1,0,0,0,-1057,-19,-897,-1,0,10584,10584,4801,0,9342,0,1,75,15647,63,5,25,400,0
62457,GEN,Red,Win,Canyon,Maokai,JUNGLE,14,3,1,11,14,173,148,,6.1,10445,370,17.2%,39,10,10,7,7,1.38,0.35,0.25,0.35,16.2%,7664,663,6839,162,271,11%,0.5,77.8%,,0,0,0,0,-372,-16,-799,-1,0,1472,1472,18900,0,25193,1101,46,556,28300,14,8,23,0,0
62457,GEN,Red,Win,Chovy,Garen,MID,18,5,3,5,3.3,322,46,,11.4,14382,509,23.6%,32,12,5,7,6,1.13,0.42,0.25,0.18,13.3%,17560,14172,0,3388,622,25.3%,0.35,55.6%,2,1,0,0,0,1058,39,1279,1,0,5324,5324,2910,0,23636,0,21,199,19327,113,8,28,0,200
62457,GEN,Red,Win,Peyz,Ziggs,ADC,16,6,0,9,Perfect KDA,272,2,,9.6,14651,519,24.1%,32,13,6,5,5,1.13,0.46,0.18,0.21,13.3%,21296,704,20592,0,754,30.7%,0.53,83.3%,,0,0,0,0,583,-10,-83,0,0,9947,9947,774,0,1785,0,12,309,4091,0,8,25,150,0
62457,GEN,Red,Win,Lehends,Blitzcrank,SUPPORT,11,1,3,10,3.7,23,0,,0.8,8345,295,13.7%,99,51,12,13,13,3.5,1.81,0.46,0.42,41.1%,4399,1094,2375,930,156,6.3%,0.39,61.1%,,0,0,0,0,428,-6,50,0,0,1988,1988,600,0,9129,0,28,154,16447,52,15,28,0,0
62458,DK,Blue,Loss,kingen,Nasus,TOP,14,4,8,4,1,178,3,,6.2,10464,365,21.3%,20,8,4,4,2,0.7,0.28,0.14,0.14,8.7%,14415,10353,3942,120,503,22.7%,0.28,50%,,0,0,0,0,-559,-28,-1504,-1,0,4582,4582,8910,0,28139,0,9,102,33104,179,5,24,250,0
62458,DK,Blue,Loss,Lucid,Vi,JUNGLE,13,3,5,7,2,169,145,,5.9,9393,328,19.1%,36,12,9,10,10,1.26,0.42,0.35,0.31,15.6%,11455,10857,0,598,400,18%,0.35,62.5%,,0,0,0,0,-903,17,554,1,0,0,0,11381,0,28909,0,25,344,29917,132,11,25,0,0
62458,DK,Blue,Loss,ShowMaker,Taliyah,MID,15,4,4,10,3.5,231,8,,8.1,11344,396,23.1%,34,13,8,3,3,1.19,0.45,0.1,0.28,14.7%,18351,1115,17236,0,641,28.9%,0.49,87.5%,1,0,0,0,0,-338,-18,-282,0,0,132,132,956,0,9435,0,32,417,14977,104,5,26,450,0
62458,DK,Blue,Loss,Aiming,Seraphine,ADC,15,5,1,5,10,248,6,,8.7,11540,403,23.4%,30,12,6,4,4,1.05,0.42,0.14,0.21,13%,15109,1111,13735,263,527,23.8%,0.35,62.5%,,0,1,0,0,-1522,-1,688,0,0,826,826,2419,1381,7374,2435,23,255,9044,0,6,24,250,100
62458,DK,Blue,Loss,Moham,Leona,SUPPORT,9,0,7,7,1,34,0,,1.2,6473,226,13.2%,111,55,18,17,17,3.87,1.92,0.59,0.63,48.1%,4193,1109,2288,796,146,6.6%,0.24,43.8%,,0,0,0,0,-498,13,-905,-2,0,738,738,822,0,20084,0,27,55,19864,142,19,32,0,0
62458,GEN,Red,Win,Kiin,Garen,TOP,16,3,3,7,3.3,216,22,,7.5,11379,397,18.9%,36,9,7,6,5,1.26,0.31,0.21,0.24,13.8%,17613,14001,0,3612,615,21.3%,0.35,40%,,0,0,0,0,559,28,1504,1,0,7106,7106,2374,0,24611,0,22,177,22191,117,8,26,0,150
62458,GEN,Red,Win,Canyon,Skarner,JUNGLE,14,9,1,13,22,143,122,,5,12050,421,20%,55,11,16,10,9,1.92,0.38,0.35,0.56,21.1%,13867,8938,4439,490,484,16.7%,0.77,88%,,0,0,0,0,903,-17,-554,-1,0,4250,4250,13571,0,57649,0,35,565,30971,16,11,29,0,200
62458,GEN,Red,Win,Chovy,Corki,MID,17,5,4,10,3.8,287,28,,10,13825,483,23%,52,11,12,2,2,1.82,0.38,0.07,0.42,19.9%,19979,13952,3869,2158,697,24.1%,0.52,60%,,1,1,0,0,338,18,282,0,0,4386,4386,7624,0,11729,0,1,45,20180,79,3,23,0,500
62458,GEN,Red,Win,Peyz,Ziggs,ADC,15,8,3,11,6.3,259,4,,9,15077,526,25%,25,10,5,2,2,0.87,0.35,0.07,0.17,9.6%,26708,1188,25520,0,932,32.2%,0.66,76%,,2,0,0,0,1522,1,-688,0,0,11527,11527,321,0,4387,0,14,220,9274,76,4,22,100,100
62458,GEN,Red,Win,Lehends,Rell,SUPPORT,11,0,5,22,4.4,18,0,,0.6,7862,274,13.1%,93,61,5,17,17,3.25,2.13,0.59,0.17,35.6%,4705,1361,2716,628,164,5.7%,0.77,88%,,0,0,0,0,498,-13,905,2,0,1978,1978,101,0,16992,0,32,66,20410,135,19,34,0,0
62461,HLE,Blue,Win,Doran,Vladimir,TOP,17,2,1,11,13,224,12,,7.1,12150,386,18.6%,30,13,1,6,5,0.95,0.41,0.19,0.03,8.5%,17920,487,17349,84,569,22.8%,0.41,72.2%,,0,0,0,0,-526,-16,-424,0,0,3212,3212,31140,1382,13589,0,3,115,23669,49,10,26,0,0
62461,HLE,Blue,Win,Peanut,Vi,JUNGLE,16,8,1,7,15,209,180,,6.6,14186,450,21.7%,53,7,21,5,5,1.68,0.22,0.16,0.67,15.1%,11058,10788,0,270,351,14%,0.48,83.3%,,1,1,0,0,895,-16,-232,0,0,2814,2814,17941,0,40374,0,19,342,29943,36,6,25,250,0
62461,HLE,Blue,Win,Zeka,Yone,MID,18,4,0,10,Perfect KDA,318,16,,10.1,14766,469,22.6%,45,14,11,4,4,1.43,0.44,0.13,0.35,12.8%,25231,17159,4593,3479,801,32%,0.44,77.8%,,0,0,0,0,114,6,50,0,0,4951,4951,13623,0,26390,0,22,213,24620,0,5,23,50,0
62461,HLE,Blue,Win,Viper,Ziggs,ADC,17,1,2,12,6.5,314,8,,10,14393,457,22.1%,46,18,8,8,7,1.46,0.57,0.25,0.25,13.1%,19927,566,19250,111,633,25.3%,0.41,72.2%,,0,0,0,0,236,-12,-152,0,1,14626,14626,933,0,5348,0,15,330,9394,70,10,29,0,100
62461,HLE,Blue,Win,Delight,Rakan,SUPPORT,14,3,0,12,Perfect KDA,50,0,,1.6,9761,310,15%,178,96,30,15,15,5.65,3.05,0.48,0.95,50.6%,4616,1213,3275,128,147,5.9%,0.48,83.3%,,0,0,0,0,-227,6,93,0,0,3353,3353,8234,2964,18579,1534,16,59,15195,0,17,33,100,0
62461,T1,Red,Loss,Zeus,Kennen,TOP,17,1,3,1,0.7,306,4,,9.7,13383,425,24.8%,36,16,6,5,5,1.14,0.51,0.16,0.19,13.8%,16346,7200,8936,210,519,28.6%,0.06,50%,,0,0,0,0,526,16,424,0,0,8876,8876,4913,0,19085,0,25,221,20072,101,8,26,0,100
62461,T1,Red,Loss,Oner,Lee Sin,JUNGLE,14,1,5,1,0.4,193,176,,6.1,9633,306,17.9%,46,18,8,9,8,1.46,0.57,0.29,0.25,17.6%,6842,5408,1084,350,217,12%,0.06,50%,,0,0,0,0,-895,16,232,0,0,342,342,18458,0,34726,664,13,614,37221,186,10,28,0,0
62461,T1,Red,Loss,Faker,LeBlanc,MID,16,2,3,1,1,287,9,,9.1,11902,378,22.1%,28,11,12,2,2,0.89,0.35,0.06,0.38,10.7%,18856,1929,15258,1669,599,33%,0.1,75%,1,0,0,0,0,-114,-6,-50,0,0,843,843,3228,0,9667,0,18,69,20474,95,4,21,100,100
62461,T1,Red,Loss,Gumayusi,Ashe,ADC,15,0,4,2,0.5,320,18,,10.2,12009,381,22.3%,38,15,13,8,7,1.21,0.48,0.25,0.41,14.6%,9376,6831,2333,212,298,16.4%,0.06,50%,,0,0,0,0,-236,12,152,0,0,1355,1355,2598,0,11640,0,30,687,16159,139,10,31,0,200
62461,T1,Red,Loss,Keria,Braum,SUPPORT,11,0,3,2,0.7,35,0,,1.1,6955,221,12.9%,113,66,24,20,17,3.59,2.1,0.63,0.76,43.3%,5709,546,5103,60,181,10%,0.06,50%,,0,0,0,0,227,-6,-93,0,0,3228,3228,820,0,14794,1106,28,179,19474,66,22,37,0,0
62462,T1,Blue,Loss,Zeus,Olaf,TOP,18,4,6,3,1.2,330,29,,8.3,15922,402,22.8%,46,12,10,7,5,1.16,0.3,0.18,0.25,12.4%,20955,14272,0,6683,528,19.3%,0.18,50%,2,0,0,0,0,1359,12,636,1,0,6446,6446,16686,0,63267,0,17,561,35072,181,10,32,150,200
62462,T1,Blue,Loss,Oner,Vi,JUNGLE,16,1,7,6,1,233,183,,5.9,13053,329,18.7%,48,10,13,9,8,1.21,0.25,0.23,0.33,12.9%,12531,11947,0,584,316,11.5%,0.18,50%,,0,0,0,0,234,14,636,0,0,1621,1621,20866,0,58140,0,26,355,49560,283,10,32,100,0
62462,T1,Blue,Loss,Faker,Nasus,MID,18,4,5,2,1.2,333,18,,8.4,15356,387,22%,49,23,13,10,10,1.24,0.58,0.25,0.33,13.2%,27456,15421,12035,0,692,25.2%,0.15,42.9%,,0,0,0,0,-688,-10,-870,-1,0,676,676,20387,0,58855,0,19,376,47040,157,13,31,100,200
62462,T1,Blue,Loss,Gumayusi,Seraphine,ADC,18,4,3,6,3.3,348,20,,8.8,16012,404,23%,38,16,8,8,7,0.96,0.4,0.2,0.2,10.2%,38257,1683,35974,600,965,35.1%,0.25,71.4%,,1,0,0,0,-1404,-16,-977,0,0,3016,3016,3737,117,15719,3927,35,378,19104,79,11,31,350,350
62462,T1,Blue,Loss,Keria,Shen,SUPPORT,13,1,6,10,1.8,43,2,,1.1,9387,237,13.5%,190,122,24,32,29,4.79,3.08,0.81,0.61,51.2%,9658,4883,3197,1578,244,8.9%,0.28,78.6%,,0,0,0,0,-897,0,-160,0,0,2445,2445,2830,0,28120,3890,33,145,30213,206,36,50,0,0
62462,HLE,Red,Win,Doran,Renekton,TOP,18,2,5,9,2.2,295,16,,7.4,13979,353,18.3%,44,13,15,8,8,1.11,0.33,0.2,0.38,12.3%,17321,14016,2331,974,437,12.8%,0.28,40.7%,,0,0,0,0,-1359,-12,-636,-1,0,347,347,9636,0,32044,0,24,318,40516,194,12,38,200,0
62462,HLE,Red,Win,Peanut,Sejuani,JUNGLE,17,3,3,20,7.7,204,173,,5.1,12985,327,17%,62,16,20,14,14,1.56,0.4,0.35,0.5,17.4%,19920,11013,5948,2959,502,14.7%,0.58,85.2%,1,0,0,0,0,-234,-14,-636,0,0,349,349,19040,266,66214,1358,38,501,55700,71,15,33,50,100
62462,HLE,Red,Win,Zeka,Smolder,MID,18,16,2,2,9,382,49,,9.6,20661,521,27.1%,39,17,8,5,4,0.98,0.43,0.13,0.2,10.9%,42548,26457,6604,9487,1073,31.4%,0.45,66.7%,,2,1,0,0,688,10,870,1,0,8790,8790,8952,0,16982,0,11,470,21904,86,6,28,400,500
62462,HLE,Red,Win,Viper,Ziggs,ADC,18,4,0,19,Perfect KDA,334,20,,8.4,17353,438,22.7%,46,24,5,11,11,1.16,0.61,0.28,0.13,12.9%,46396,1006,42221,3169,1170,34.2%,0.58,85.2%,,1,0,0,0,1404,16,977,0,0,14846,14846,3028,1049,6034,0,25,451,10325,0,13,38,0,0
62462,HLE,Red,Win,Delight,Leona,SUPPORT,14,2,4,17,4.8,45,0,,1.1,11320,285,14.8%,166,79,30,21,21,4.19,1.99,0.53,0.76,46.5%,9385,1908,5329,2148,237,6.9%,0.48,70.4%,1,0,0,0,0,897,0,160,0,0,3767,3767,286,0,36853,165,42,131,32642,101,25,41,100,100
62463,T1,Blue,Loss,Zeus,Camille,TOP,15,2,6,3,0.8,202,4,,6.6,10643,348,21.3%,22,7,3,4,2,0.72,0.23,0.13,0.1,9.1%,12285,7312,1056,3917,402,18%,0.16,71.4%,,0,0,0,0,-1206,4,166,0,0,5245,5245,1661,0,24634,0,16,182,24588,165,5,24,50,0
62463,T1,Blue,Loss,Oner,Sejuani,JUNGLE,13,2,5,4,1.2,140,125,,4.6,9167,300,18.3%,35,8,8,6,6,1.15,0.26,0.2,0.26,14.5%,10150,4965,4569,616,332,14.8%,0.2,85.7%,,0,0,0,0,-251,3,-3,0,0,0,0,10549,189,34599,1229,25,288,29919,138,7,23,350,0
62463,T1,Blue,Loss,Faker,Smolder,MID,15,1,5,5,1.2,250,0,,8.2,11135,364,22.3%,38,14,10,4,4,1.24,0.46,0.13,0.33,15.8%,23921,17989,4140,1792,783,35%,0.2,85.7%,,0,0,0,0,104,-3,13,0,0,684,684,4933,0,10620,0,10,188,19727,162,5,18,0,50
