GameID,Champion,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
59576,Mordekaiser,Morgan,TOP,15,4,4,2,1.5,222,12,,7.6,11205,383,22.3%,24,9,4,7,6,0.82,0.31,0.24,0.14,10%,14810,1694,13116,0,506,21.3%,0.21,46.2%,,0,0,0,0,200,-7,-657,0,0,666,666,7350,0,24956,0,9,160,24624,160,8,24,600,50
59576,Xin Zhao,YoungJae,JUNGLE,14,4,5,7,2.2,172,159,,5.9,10325,353,20.5%,42,12,8,14,11,1.44,0.41,0.48,0.27,17.4%,14929,13328,1109,492,510,21.5%,0.38,84.6%,,0,0,0,0,375,-5,-33,0,0,1973,1973,28285,0,36837,0,19,637,50550,164,15,31,50,100
59576,Azir,Karis,MID,16,4,4,7,2.8,262,0,,9,12418,425,24.7%,39,8,10,6,5,1.33,0.27,0.21,0.34,16.2%,18608,541,18067,0,636,26.8%,0.38,84.6%,,1,0,0,0,223,9,221,0,0,0,0,3014,0,9951,0,8,141,14313,65,8,25,700,50
59576,Ezreal,Envyy,ADC,14,1,3,5,2,228,0,,7.8,9617,329,19.1%,28,11,9,3,2,0.96,0.38,0.1,0.31,11.6%,16313,13069,3076,168,558,23.5%,0.21,46.2%,,0,0,0,0,-1398,-15,-377,0,0,330,330,2453,0,7109,0,1,54,13750,131,5,24,0,0
59576,Leona,Pollu,SUPPORT,11,0,4,9,2.3,35,0,,1.2,6723,230,13.4%,108,55,18,18,16,3.69,1.88,0.62,0.62,44.8%,4899,823,3366,710,167,7%,0.31,69.2%,,0,0,0,0,-155,6,33,0,0,0,0,1230,277,16047,0,26,47,18961,121,20,31,0,0
59579,Skarner,Clear,TOP,15,2,4,0,0.5,234,4,,7.9,9697,328,20.8%,33,10,9,5,5,1.12,0.34,0.17,0.3,14.3%,18064,13036,4872,156,611,23.8%,0.07,50%,,0,0,0,0,-1397,-14,-1225,-1,0,0,0,1599,0,46857,0,43,696,26962,104,6,21,50,0
59579,Maokai,Raptor,JUNGLE,13,0,4,3,0.8,178,151,,6,8472,287,18.1%,38,5,15,6,3,1.29,0.17,0.2,0.51,16.5%,12977,153,11503,1321,439,17.1%,0.1,75%,,0,0,0,0,-955,-14,-792,-1,0,0,0,18949,0,22833,0,28,513,32739,71,7,20,0,0
59579,Tristana,Clozer,MID,15,1,4,3,1,285,4,,9.6,11330,383,24.3%,30,11,11,4,3,1.02,0.37,0.14,0.37,13%,11259,9814,1137,308,381,14.8%,0.14,100%,,0,0,0,0,-487,-11,-570,-1,0,1140,1140,4549,0,9455,0,6,71,16933,114,7,28,0,0
59579,Ziggs,Hena,ADC,15,1,2,2,1.5,285,0,,9.6,11187,379,24%,18,12,3,5,5,0.61,0.41,0.17,0.1,7.8%,29868,616,29252,0,1011,39.3%,0.1,75%,,0,0,0,0,536,16,-320,0,0,2183,2183,2230,0,6144,0,17,252,15642,46,8,24,300,0
59579,Rell,Execute,SUPPORT,11,0,6,3,0.5,34,0,,1.2,6009,203,12.9%,111,58,16,14,13,3.76,1.96,0.47,0.54,48.3%,3787,844,2483,460,128,5%,0.1,75%,,0,0,0,0,-568,0,-688,-1,0,0,0,533,0,15506,0,21,32,19518,126,16,32,0,0
59579,K,DuDu,TOP,17,9,0,6,Perfect KDA,267,0,,9,14947,506,24.2%,22,9,3,3,3,0.74,0.3,0.1,0.1,8.1%,18373,15033,1358,1982,622,21.4%,0.51,75%,,2,1,0,0,1397,14,1225,1,0,8701,8701,8886,0,55237,0,36,2187,28621,0,5,22,0,0
59579,Nidalee,Cuzz,JUNGLE,16,3,0,14,Perfect KDA,254,227,,8.6,12906,437,20.9%,66,8,19,7,6,2.23,0.27,0.24,0.64,24.4%,18475,886,15218,2371,625,21.5%,0.58,85%,,0,0,0,0,955,14,792,1,0,3148,3148,35583,6485,24559,0,7,331,37400,0,8,21,0,0
59579,Hwei,Bulldog,MID,17,4,1,12,16,290,0,,9.8,13573,459,22%,38,17,9,11,10,1.29,0.58,0.37,0.3,14.1%,21691,1031,20209,451,734,25.3%,0.54,80%,,1,0,0,0,487,11,570,1,0,6702,6702,2607,380,10167,1224,23,944,12533,12,13,30,0,50
59579,Ezreal,Leaper,ADC,16,2,1,9,11,283,12,,9.6,12148,411,19.6%,15,7,4,1,1,0.51,0.24,0.03,0.14,5.6%,22820,13158,8747,915,772,26.6%,0.37,55%,,0,0,0,0,-536,-16,320,0,0,4768,4768,6136,0,7464,0,4,184,19451,48,2,19,0,300
59579,Rakan,Andil,SUPPORT,11,2,2,14,8,30,0,,1,8260,280,13.4%,129,79,15,14,13,4.37,2.67,0.47,0.51,47.8%,4448,836,3210,402,151,5.2%,0.54,80%,,0,0,0,0,568,0,688,1,0,826,826,6763,3016,15316,2551,25,61,18613,44,16,30,0,0
59582,Kennen,Kiin,TOP,13,3,2,9,6,189,0,,9.1,10258,493,22.4%,26,10,5,3,3,1.25,0.48,0.14,0.24,17.4%,15636,8278,7358,0,751,28.7%,0.58,80%,,1,0,0,0,1830,37,949,1,0,9180,9180,3605,0,9396,0,20,51,13276,47,6,17,0,0
59582,Nidalee,Canyon,JUNGLE,14,6,0,9,Perfect KDA,177,167,,8.5,11070,532,24.2%,18,4,4,4,2,0.86,0.19,0.19,0.19,12.1%,13747,827,11244,1676,660,25.3%,0.72,100%,,1,0,0,0,2263,17,1418,1,0,7386,7386,20680,3323,14474,0,8,179,24162,0,5,14,0,0
59582,Hwei,Chovy,MID,14,4,0,5,Perfect KDA,216,0,,10.4,9860,474,21.6%,28,10,7,3,3,1.35,0.48,0.14,0.34,18.8%,11072,774,10298,0,532,20.4%,0.43,60%,,0,0,0,0,824,16,764,0,0,4336,4336,237,0,2190,0,13,632,4451,0,5,17,0,0
59582,Senna,Peyz,ADC,10,2,0,7,Perfect KDA,36,2,,1.7,7301,351,16%,53,26,10,6,6,2.55,1.25,0.29,0.48,35.6%,10792,9980,0,812,518,19.8%,0.43,60%,,0,0,0,0,-1224,-116,-1796,-2,0,4576,4576,5523,2156,2455,449,21,212,6155,0,9,24,0,0
59582,Nautilus,Lehends,SUPPORT,12,0,2,6,3,166,0,,8,7214,347,15.8%,24,11,6,6,6,1.15,0.53,0.29,0.29,16.1%,3160,589,2571,0,152,5.8%,0.29,40%,,0,0,0,0,2071,117,2711,2,0,3301,3301,5,0,16739,0,19,291,11009,33,7,24,0,0
59582,Malphite,Rascal,TOP,12,1,6,1,0.3,136,0,,6.5,6396,307,19%,15,6,3,3,2,0.72,0.29,0.14,0.14,10%,5776,839,4937,0,277,18.9%,0.1,50%,,0,0,0,0,-1830,-37,-949,-1,0,747,747,648,0,22041,0,13,320,19465,128,4,20,0,0
59582,Taliyah,Sponge,JUNGLE,12,1,3,3,1.3,143,130,,6.9,6947,334,20.6%,33,14,5,5,4,1.59,0.67,0.24,0.24,22%,7106,538,5610,958,341,23.3%,0.19,100%,1,0,0,0,0,-2263,-17,-1418,-1,0,0,0,5526,0,4137,0,12,603,12374,31,7,19,0,0
59582,Corki,Kyeahoo,MID,13,2,2,0,1,207,0,,9.9,8196,394,24.3%,21,7,3,1,1,1.01,0.34,0.05,0.14,14%,9261,6436,2210,615,445,30.4%,0.1,50%,,0,0,0,0,-824,-16,-764,0,0,3177,3177,2392,0,5971,0,0,9,11051,21,2,20,0,0
59582,Kai,Teddy,ADC,11,0,2,1,0.5,203,0,,9.8,7839,377,23.2%,23,8,8,4,2,1.1,0.38,0.19,0.38,15.3%,6530,4695,1835,0,314,21.4%,0.05,25%,,0,0,0,0,1224,116,1796,2,0,0,0,3346,0,4985,0,0,4,10741,36,5,19,0,0
59582,Leona,Pleata,SUPPORT,8,0,2,2,1,19,0,,0.9,4344,209,12.9%,58,35,5,12,11,2.79,1.68,0.58,0.24,38.7%,1831,523,1082,226,88,6%,0.1,50%,,0,0,0,0,-2071,-117,-2711,-2,0,0,0,943,70,7918,0,9,21,10708,38,14,24,0,0
59585,Skarner,Zeus,TOP,17,0,1,7,7,282,3,,8.7,11812,364,18.2%,28,13,1,9,9,0.86,0.4,0.28,0.03,8.5%,11362,7328,3954,80,350,15.5%,0.22,77.8%,,0,0,0,0,-427,8,-170,0,0,337,337,1850,0,29143,0,23,709,13604,21,10,28,0,0
59585,Nidalee,Oner,JUNGLE,17,1,1,6,7,253,224,,7.8,12828,395,19.8%,68,8,24,6,6,2.09,0.25,0.18,0.74,20.6%,21935,1019,17594,3322,676,30%,0.22,77.8%,,0,0,0,0,-400,16,420,0,0,2865,2865,23157,2293,17562,0,15,192,27543,16,7,23,0,0
